Email,Password,Role,Type,Name
kevin.omondi.kitisuru@ikag.test,Demo123!,provider,individual,Kevin Omondi
daniel.wafula.upperhill@ikag.test,Demo123!,provider,individual,Daniel Wafula
samuel.kiptoo.upperhill@ikag.test,Demo123!,provider,individual,Samuel Kiptoo
mercy.chebet.upperhill@ikag.test,Demo123!,provider,individual,Mercy Chebet
charles.maina.mbagathi@ikag.test,Demo123!,provider,individual,Charles Maina
george.njoroge.mbagathi@ikag.test,Demo123!,provider,individual,George Njoroge
francis.kibet.mbagathi@ikag.test,Demo123!,provider,individual,Francis Kibet
patrick.korir.ngara@ikag.test,Demo123!,provider,individual,Patrick Korir
stephen.rotich.ngara@ikag.test,Demo123!,provider,individual,Stephen Rotich
alex.ndirangu.ngara@ikag.test,Demo123!,provider,individual,Alex Ndirangu
lucy.adhiambo.makadara@ikag.test,Demo123!,provider,individual,Lucy Adhiambo
faith.moraa.makadara@ikag.test,Demo123!,provider,individual,Faith Moraa
diana.kemunto.makadara@ikag.test,Demo123!,provider,individual,Diana Kemunto
john.mwangi.industrialarea@ikag.test,Demo123!,provider,individual,John Mwangi
peter.ochieng.industrialarea@ikag.test,Demo123!,provider,individual,Peter Ochieng
david.kamau.industrialarea@ikag.test,Demo123!,provider,individual,David Kamau
sarah.wanjiku.brookside@ikag.test,Demo123!,provider,individual,Sarah Wanjiku
grace.akinyi.brookside@ikag.test,Demo123!,provider,individual,Grace Akinyi
joseph.kiprop.brookside@ikag.test,Demo123!,provider,individual,Joseph Kiprop
mary.njeri.rongai@ikag.test,Demo123!,provider,individual,Mary Njeri
agnes.wambui.rongai@ikag.test,Demo123!,provider,individual,Agnes Wambui
mike.otieno.rongai@ikag.test,Demo123!,provider,individual,Mike Otieno
alice.muthoni@cleanprokenya.ikag.test,Demo123!,provider,agency-owner,Alice Muthoni (CleanPro Kenya Owner)
bob.odera@cleanprokenya.ikag.test,Demo123!,provider,agency-manager,Bob Odera (CleanPro Kenya Manager)
tom.kimani@nairobiplumbingmasters.ikag.test,Demo123!,provider,agency-owner,Tom Kimani (Nairobi Plumbing Masters Owner)
grace.wanjiru@greengardensltd.ikag.test,Demo123!,provider,agency-owner,Grace Wanjiru (Green Gardens Ltd Owner)
peter.ndungu@greengardensltd.ikag.test,Demo123!,provider,agency-owner,Peter Ndung'u (Green Gardens Ltd Co-Owner)
james.otieno@swiftmovers.ikag.test,Demo123!,provider,agency-owner,James Otieno (Swift Movers Owner)
linda.achieng@petpalsnairobi.ikag.test,Demo123!,provider,agency-owner,Linda Achieng (PetPals Nairobi Owner)
mark.wekesa@petpalsnairobi.ikag.test,Demo123!,provider,agency-manager,Mark Wekesa (PetPals Nairobi Manager)
